Minimum, average, and maximum entropy and complexity values.;;;;;;;
Table 3.  Minimum, average, and maximum entropy and complexity values for all 52 languages.;;;;;;;
English;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
4;3;Minimum entropy;0,513;0,493;-13,70%;-9,83%;Hubert camarillo
;;Mean entropy;0,594;0,551;-0,06%;0,72%;Louis de Montfort
;;Maximum entropy;0,715;0,586;20,35%;7,20%;Christopher Richard Mwashinga
;;Minimum complexity;0,513;0,493;-13,70%;-9,83%;Hubert camarillo
;;Mean complexity;0,587;0,546;-1,17%;-0,08%;Samuel Ajayi Crowser
;;Maximum complexity;0,702;0,587;18,06%;7,43%;Ugonjwa wa mapafu
;;Mean entropy and complexity;0,593;0,55;-0,22%;0,62%;Katerina wa Siena
5;2;Minimum entropy;0,509;0,49;-13,74%;-10,08%;Kujiua
;;Mean entropy;0,59;0,549;-0,05%;0,64%;Samuel Ajayi Crowser
;;Maximum entropy;0,711;0,588;20,33%;7,76%;Muungano wa Tanganyika na Zanzibar
;;Minimum complexity;0,509;0,49;-13,74%;-10,08%;Kujiua
;;Mean complexity;0,585;0,545;-1,01%;-0,13%;Kiwango cha metaboli msingi
;;Maximum complexity;0,697;0,588;18,06%;7,86%;German East Africa
;;Mean entropy and complexity;0,589;0,548;-0,24%;0,52%;Mwanamalundi
;;;;;;;
Kazakh;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;5;Minimum entropy;0,654;0,54;-15,01%;14,97%;Сатбекова A.A., “?аза? тілін о?ыту ?дістемесі” 
;;Mean entropy;0,769;0,446;-0,01%;-5,13%;"Ар?ынбаева А. А. , ""Химиядан есптер шы?ару ?дістемесі"""
;;Maximum entropy;0,831;0,374;8,03%;-20,35%;"Абдраев Н.К., ""?ытай ж?не ?аза? тілдеріндегі табу мен эвфемизмдерді сал?астырмалы зерттеу"""
;;Minimum complexity;0,831;0,374;8,03%;-20,35%;"Абдраев Н.К., ""?ытай ж?не ?аза? тілдеріндегі табу мен эвфемизмдерді сал?астырмалы зерттеу"""
;;Mean complexity;0,772;0,469;0,38%;-0,07%;"А?ан сері ?орамса?лы, ""?ле?дер жина?ы"""
;;Maximum complexity;0,696;0,569;-9,49%;21,10%;"Т. Айбергенов, ""Шыгармалар"" (4 том)"
;;Mean entropy and complexity;0,717;0,554;-6,79%;18,04%;"Егизбаева М.К., ""?аза? хал?ыны? д?ст?рлі материалды? м?дениеті"""
3;6;Minimum entropy;0,6;0,566;-16,73%;3,75%;"Ільяс Есенберлин, ""К?шпенділер"""
;;Mean entropy;0,72;0,581;-0,03%;6,49%;"М?хтар ?уезов, ""Абай жолы"" (2-кітап)"
;;Maximum entropy;0,84;0,435;16,51%;-20,27%;"Карабаева Х.А.,""?аза? тілі"""
;;Minimum complexity;0,831;0,432;15,37%;-20,85%;"Т?рсын ?., ""?аза? тележурналистикасы: ?алыптасу, даму проблемалары"""
;;Mean complexity;0,799;0,545;10,80%;-0,03%;"Бокейханов А., ""Шыгармаларын 9 томдык толык жынагы"" (7-том)"
;;Maximum complexity;0,712;0,61;-1,14%;11,80%;"М?хтар ?уезов, ""Абай жолы"" (1-кітап)"
;;Mean entropy and complexity;0,68;0,601;-5,61%;10,13%;"Бокейханов А., ""Шыгармаларын 9 томдык толык жынагы"" (6-том)"
4;3;Minimum entropy;0,714;0,456;-11,22%;-2,68%;"Мустафа Шо?ай, ""Шы?армаларыны? толы? жина?ы"" (6 - том)"
;;Mean entropy;0,804;0,498;0,00%;6,24%;"Аубакиров Б.У., ""Аналитикалы? функциялар теориясыны? негіздері"""
;;Maximum entropy;0,844;0,376;4,98%;-19,70%;"Аймауытов Ж., ""Алты томды? шы?армалар жина?ы. 2 том"""
;;Minimum complexity;0,844;0,376;4,98%;-19,70%;"Аймауытов Ж., ""Алты томды? шы?армалар жина?ы. 2 том"""
;;Mean complexity;0,803;0,468;-0,04%;-0,09%;"Ештаева Н.А., ""О?у кітабы: о?у-?дістемелік ??ралы"""
;;Maximum complexity;0,762;0,566;-5,25%;20,72%;"Умбетаев М., ""С?йінбaйтaну: о?у ??рaлы"" "
;;Mean entropy and complexity;0,769;0,533;-4,28%;13,78%;"?ортабаева Г.?. ,""?аза? ономастикасы: поэтонимдерді? этнолингвистикалы? сипаты"""
4;4;Minimum entropy;0,538;0,531;-20,75%;-11,73%;"Дулат Бабатай?лы, ""?ле?дер жина?ы"" "
;;Mean entropy;0,679;0,633;-0,03%;5,23%;"?абдуллин Б.Т., Байбашева Г.?, Шарифьянова Л.Т., ""Мемлекет ж?не ???ы? теориясы"""
;;Maximum entropy;0,816;0,557;20,16%;-7,33%;"Салкынбай А.Б., ""?аза? тіл білімі тарихы"""
;;Minimum complexity;0,538;0,531;-20,75%;-11,73%;"Дулат Бабатай?лы, ""?ле?дер жина?ы"" "
;;Mean complexity;0,769;0,601;13,25%;-0,02%;"Сакен Жунусов, ""К?п томды? шы?армалар жина?ы"""
;;Maximum complexity;0,727;0,649;7,02%;8,01%;"Суюндуков Б.Т., Низаматдинова Ж.С., ""Туризм инфра??рылымы"""
;;Mean entropy and complexity;0,662;0,623;-2,57%;3,66%;"А?ан сері ?орамса?лы, ""?ле?дер жина?ы"""
6;2;Minimum entropy;0,556;0,548;-20,59%;-11,55%;"Алькебаева Д.А., ""С?з м?дениеті"""
;;Mean entropy;0,701;0,651;0,00%;4,99%;"М?хтар ?уезов, ""?араш-?араш о?и?асы"""
;;Maximum entropy;0,82;0,62;17,08%;-0,03%;"Абай ??нанбай?лы , ""?зім ??гімесі"""
;;Minimum complexity;0,556;0,548;-20,59%;-11,55%;"Алькебаева Д.А., ""С?з м?дениеті"""
;;Mean complexity;0,819;0,62;16,97%;-0,02%;"Есім ?арифолла, ""Дін философиясы"""
;;Maximum complexity;0,75;0,661;7,12%;6,69%;"Иманкулова С.М., ""К?сіби ба?дарлы ?аза? тілі"""
;;Mean entropy and complexity;0,683;0,641;-2,45%;3,38%;"Абдезулы К., ""Т?уелсіздік кезе?і ж?не ?аза? ?дебиеті"""
;;;;;;;
Udmurt;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece 
3;4;Minimum entropy;0,58;0,431;-16,52%;-3,17%;"Обрезкова Н. А., ""Мон кышкасько..."""
;;Mean entropy;0,694;0,493;-0,04%;10,71%;Яркыт но вакчи улон
;;Maximum entropy;0,786;0,389;13,13%;-12,61%;Уроке - выль амалъес
;;Minimum complexity;0,772;0,382;11,12%;-14,18%;Пуньы буясь коньы
;;Mean complexity;0,749;0,444;7,78%;-0,34%;Пинал гумыр ортче ведь 
;;Maximum complexity;0,665;0,508;-4,28%;14,13%;Шунды урод верос
;;Mean entropy and complexity;0,694;0,451;-0,13%;1,26%;Малпанам - ортчылем дауръес
3;5;Minimum entropy;0,501;0,466;-19,52%;-7,82%;Волак усьто ай укноме
;;Mean entropy;0,622;0,536;-0,02%;6,01%;Кин вае ?ардонэз
;;Maximum entropy;0,739;0,481;18,72%;-4,85%;Уроке - выль амалъес
;;Minimum complexity;0,506;0,409;-18,71%;-19,09%;Бадьпуос ортчемзэ бугырто
;;Mean complexity;0,562;0,505;-9,66%;-0,11%;Капкае усьтэмын
;;Maximum complexity;0,643;0,554;3,30%;9,59%;?еч сюлэмызлэн шунытэз
;;Mean entropy and complexity;0,599;0,539;-3,84%;6,57%;Майбыр УЛ?СЬКО яке эмеспи
4;2;Minimum entropy;0,672;0,388;-16,76%;15,45%;Йыбыртты музъемлы
;;Mean entropy;0,807;0,373;0,00%;10,88%;Павилэн выль ?укнаез
;;Maximum entropy;0,868;0,269;7,64%;-19,91%;Молот 1964 №04
;;Minimum complexity;0,868;0,269;7,64%;-19,91%;Молот 1964 №04
;;Mean complexity;0,834;0,333;3,39%;-0,91%;?еч сюлэмызлэн шунытэз
;;Maximum complexity;0,726;0,4;-10,05%;19,08%;Зарни
;;Mean entropy and complexity;0,782;0,399;-3,08%;18,77%;Тон лымыя
8;1;Minimum entropy;0,6;0,567;-14,54%;-2,21%;Илляпиысь кышкасьтэм воргорон 
;;Mean entropy;0,702;0,61;-0,01%;5,17%;Кольйич - Мольйоток
;;Maximum entropy;0,841;0,525;19,73%;-9,44%;Улон Тубатъес
;;Minimum complexity;0,777;0,471;10,68%;-18,76%;Молот 1956 №03
;;Mean complexity;0,798;0,579;13,67%;-0,13%;Кион котьку сютэм 
;;Maximum complexity;0,717;0,613;2,13%;5,73%;Машина миськизы
;;Mean entropy and complexity;0,683;0,608;-2,73%;4,86%;Сюрес вожъем
;;;;;;;
Dutch;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;2;Minimum entropy;0,578;0,34;-4,65%;3,23%;"Theo Blakensee, Kurt Matull, Felix Hageman, ""Lord Lister"""
;;Mean entropy;0,611;0,33;0,00%;0,29%;"J.J. Cremer, ""Overbetuwsche novellen"""
;;Maximum entropy;0,708;0,285;13,87%;-13,47%;"Constantijn Huygens, ""Hofwyck en Spaansche Wijsheit"""
;;Minimum complexity;0,704;0,285;13,30%;-13,47%;"Willem Bilderdijk, ""Kort verhaal van eene aanmerkelijke luchtreis en nieuwe planeetontdekking"""
;;Mean complexity;0,608;0,329;-0,36%;-0,02%;"Frederik Van Eeden, ""Dante en Beatrice"
;;;;;;;"En andere verzen"""
;;Maximum complexity;0,578;0,34;-4,65%;3,23%;"Theo Blakensee, Kurt Matull, Felix Hageman, ""Lord Lister"""
;;Mean entropy and complexity;0,612;0,328;0,15%;-0,45%;"F. Hadland Davis, ""Mythen & Legenden van Japan"""
3;4;Minimum entropy;0,507;0,405;-13,97%;-7,45%;"Dr. J. G. Schlimmer, ""Woordenboek der Grieksche en Romeinsche oudheid"""
;;Mean entropy;0,589;0,44;0,00%;0,64%;"Louis Couperus, ""Dionyzos"""
;;Maximum entropy;0,679;0,422;15,21%;-3,57%;"Dante Alighieri, ""Dante's Hel"""
;;Minimum complexity;0,523;0,402;-11,26%;-8,14%;"Henri Louis de Beaufort, ""Het Auteursrecht in het Nederlandsche en internationale recht"
;;;;;;;""""
;;Mean complexity;0,59;0,437;0,15%;-0,03%;"Johannes Diderik Bierens de Haan, ""Goethe's Faust"""
;;Maximum complexity;0,636;0,471;7,92%;7,63%;"Heinrich Heine, ""De Beurs lacht"""
;;Mean entropy and complexity;0,588;0,44;-0,16%;0,51%;"Ellen Karolina Sofia Key, ""De moedige vrouw"""
3;5;Minimum entropy;0,468;0,407;-13,29%;-11,46%;"Dr. J. G. Schlimmer, ""Woordenboek der Grieksche en Romeinsche oudheid"""
;;Mean entropy;0,54;0,462;0,00%;0,46%;"Arthur van Schendel, ""Een Zwerver Verliefd"""
;;Maximum entropy;0,601;0,501;11,35%;8,99%;"Jean Baptiste Racine, ""De Pleiters"""
;;Minimum complexity;0,468;0,407;-13,29%;-11,46%;"Dr. J. G. Schlimmer, ""Woordenboek der Grieksche en Romeinsche oudheid"""
;;Mean complexity;0,539;0,459;-0,07%;-0,08%;"Henri Borel, ""Vlindertje"
;;;;;;;"een Haagsche roman"""
;;Maximum complexity;0,582;0,513;7,83%;11,60%;"Heinrich Heine, ""De Beurs lacht"""
;;Mean entropy and complexity;0,54;0,46;0,10%;0,03%;"Alexander Kielland, ""Vergif: Een Roman uit het Noorsch"""
4;5;Minimum entropy;0,416;0,416;-12,50%;-12,16%;"Paul van Ostayen, ""Bezette stad"""
;;Mean entropy;0,475;0,472;-0,01%;-0,37%;"A. E. Brehm, ""Het Leven der Dieren: Deel 2, Inleiding; Hoofdstuk 1: De Boomvogels"""
;;Maximum entropy;0,52;0,517;9,37%;9,17%;"Hoffmann Von Fallersleben, ""Niederl?ndische Volkslieder"""
;;Minimum complexity;0,416;0,416;-12,50%;-12,16%;"Paul van Ostayen, ""Bezette stad"""
;;Mean complexity;0,475;0,473;-0,09%;-0,07%;"Frans Berding, ""De Edda"""
;;Maximum complexity;0,52;0,517;9,37%;9,17%;"Hoffmann Von Fallersleben, ""Niederl?ndische Volkslieder"""
;;Mean entropy and complexity;0,475;0,474;-0,04%;0,09%;"Ida Heijermans, ""Zoo mooi als zonneschijn. Het Kaarsemannetje"""
;;;;;;;
French;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;7;Minimum entropy;0,63;0,601;-14,52%;-1,95%;"L?on Alexandre Heuzey, ""Mythes chaldeens"""
;;Mean entropy;0,737;0,62;-0,01%;1,21%;"George Sand, ""Contes d'une grand-mere"""
;;Maximum entropy;0,789;0,573;7,05%;-6,52%;"Honor? de Balzac, ""La Comedie humaine - Volume IX"""
;;Minimum complexity;0,786;0,57;6,65%;-7,01%;"Honor? de Balzac, ""La Comedie humaine - Volume VIII"""
;;Mean complexity;0,756;0,613;2,55%;-0,01%;"Andre Beaunier, ""Picrate et Sim?on"""
;;Maximum complexity;0,721;0,639;-2,17%;4,25%;"Pierre Augustin Caron de Beaumarchais, ""L'autre Tartuffe, ou La m?re coupable"""
;;Mean entropy and complexity;0,743;0,607;0,78%;-1,01%;"Andre Grellet Dumazeau, ""L'Affaire Du Bonnet Et Les Memoires De Saint-Simon"""
3;8;Minimum entropy;0,561;0,555;-16,18%;-12,18%;"J.-B. P?r?s, ""Comme quoi Napol?on n'a jamais exist?"""
;;Mean entropy;0,669;0,639;-0,01%;1,13%;"Michel Corday, ""Plaisirs d'auto"""
;;Maximum entropy;0,731;0,642;9,23%;1,60%;"Emile Gaboriau, ""Les esclaves de Paris"""
;;Minimum complexity;0,561;0,554;-16,18%;-12,34%;"Louis Guibert, ""De l'importance des livres de raison au point de vue arch?ologique"""
;;Mean complexity;0,66;0,632;-1,39%;0,00%;"Pierre de Lano, ""Carnet d'une femme"""
;;Maximum complexity;0,713;0,655;6,53%;3,64%;"Guy de Maupassant, ""?uvres compl?tes de Guy de Maupassant"""
;;Mean entropy and complexity;0,667;0,635;-0,27%;0,41%;"Pierre Loti, ""La troisi?me jeunesse de Madame Prune"""
4;4;Minimum entropy;0,661;0,62;-15,48%;0,86%;"Ulysse Chevalier, ""Un tournoi ? Romans en 1484"""
;;Mean entropy;0,782;0,634;-0,05%;3,16%;"Marcel Boulenger, ""Lettres de Chantilly"""
;;Maximum entropy;0,851;0,517;8,81%;-15,90%;"Dumas Alexandre, ""Vingt ans apres"""
;;Minimum complexity;0,851;0,511;8,81%;-16,87%;"Madame de S?vign?, ""Lettres de Madame de S?vign?"""
;;Mean complexity;0,793;0,615;1,38%;0,00%;"Jean-Baptiste Joseph Champagnac, ""Chronique du Crime Et de l’Innocence"""
;;Maximum complexity;0,739;0,651;-5,51%;5,90%;"Pierre Augustin Caron de Beaumarchais, ""L'autre Tartuffe, ou La m?re coupable"""
;;Mean entropy and complexity;0,851;0,517;8,80%;-15,82%;"Dumas Alexandre, ""Vingt ans apres"""
4;5;Minimum entropy;0,531;0,529;-18,68%;-16,97%;"Jean Saint-Denis, ""Tres utile et compendieulx Traicte de l'art et science d'orthographie gallicane…"""
;;Mean entropy;0,652;0,639;-0,12%;0,26%;"M. Capefigue, ""Diane de Poitiers"""
;;Maximum entropy;0,745;0,687;14,09%;7,82%;"Eug?ne Fran?ois Vidocq, ""Les vrais myst?res de Paris"""
;;Minimum complexity;0,531;0,529;-18,68%;-16,97%;"Jean Saint-Denis, ""Tres utile et compendieulx Traicte de l'art et science d'orthographie gallicane…"""
;;Mean complexity;0,649;0,637;-0,55%;-0,01%;"Gautier Judith, ""Le paravent de soie et d'or"""
;;Maximum complexity;0,738;0,689;13,09%;8,16%;"Emile Gaboriau, ""Les esclaves de Paris"""
;;Mean entropy and complexity;0,653;0,64;-0,05%;0,39%;"Ulrich von Hutten, ""Epitres des hommes obscurs"""
5;3;Minimum entropy;0,6;0,591;-17,22%;-11,09%;"Th?odore Hannon, ""Au clair de la dune"""
;;Mean entropy;0,724;0,672;-0,12%;1,06%;"L?o Taxil, Antonio Mar?a Claret, Pierre Jean Corneille Debreyne and Jean-Baptiste Bouvier, "" La confession et les confesseurs"""
;;Maximum entropy;0,821;0,639;13,27%;-3,87%;"Miguel de Cervantes Saavedra, ""L'ing?nieux chevalier Don Quichotte de la Manche"""
;;Minimum complexity;0,6;0,591;-17,22%;-11,09%;"Th?odore Hannon, ""Au clair de la dune"""
;;Mean complexity;0,703;0,673;-2,95%;1,31%;"Duchaussois Pierre Jean Baptiste, ""Aux glaces polaires"""
;;Maximum complexity;0,756;0,679;4,25%;2,16%;"Marie-Louise Gagneur , ""Le calvaire des femmes"""
;;Mean entropy and complexity;0,703;0,664;-2,95%;-0,05%;"Jules Sandeau, ""Mademoiselle de la Seigliere - Volume I"""
6;2;Minimum entropy;0,651;0,624;-17,65%;-1,31%;"Jean de La V?prie, ""Les proverbes communs"""
;;Mean entropy;0,79;0,651;-0,09%;2,90%;"Vicente Blasco Ib??ez, ""Contes espagnols d'amour et de mort"""
;;Maximum entropy;0,876;0,515;10,82%;-18,55%;"Marie de S?vign?, ""Lettres de madame de S?vign?, de sa famille et de ses amis"""
;;Minimum complexity;0,876;0,515;10,82%;-18,55%;"Marie de S?vign?, ""Lettres de madame de S?vign?, de sa famille et de ses amis"""
;;Mean complexity;0,813;0,632;2,83%;-0,03%;"Octave Mirbeau, ""Le Calvaire"""
;;Maximum complexity;0,753;0,662;-4,74%;4,70%;"Brada, ""Lettres d'une amoureuse"""
;;Mean entropy and complexity;0,772;0,657;-2,40%;3,96%;"Gustave Reynier, ""La Vie Universitaire dans l'Ancienne Espagne"""
;;;;;;;
Spanish;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;5;Minimum entropy;0,7;0,485;-13,63%;12,47%;"Tomas Salvador, ""Martin Lord 02"""
;;Mean entropy;0,81;0,441;-0,01%;2,34%;"Jon Arretxe P?rez, ""Shahmar?n"""
;;Maximum entropy;0,854;0,363;5,35%;-15,86%;"Francisco Altable, ""El Dios de los Jilgueros"""
;;Minimum complexity;0,852;0,35;5,12%;-18,83%;"Lope de Vega, ""Del pan y del Palo"""
;;Mean complexity;0,809;0,432;-0,20%;0,18%;"Daniel de la Pe?a, ""La locura de rimar contigo"""
;;Maximum complexity;0,759;0,521;-6,35%;20,82%;"Irene Mendoza, ""Las cosas bellas"""
;;Mean entropy and complexity;0,809;0,435;-0,15%;0,91%;"Laura G. Miranda, ""Despu?s del abismo"" "
3;6;Minimum entropy;0,66;0,52;-13,77%;-7,39%;"Jos? Luis Sampedro, ""El caballo desnudo"""
;;Mean entropy;0,765;0,562;-0,02%;0,09%;"Manuel Mart?nez Velasco, ""Cosas que no debes hacer la noche antes de casarte"""
;;Maximum entropy;0,827;0,469;8,03%;-16,47%;"Anne Marie Cross, Christine Cross, ""El perfecto mayordomo"""
;;Minimum complexity;0,827;0,469;8,03%;-16,47%;"Anne Marie Cross, Christine Cross, ""El perfecto mayordomo"""
;;Mean complexity;0,774;0,561;1,16%;0,00%;"Sof?a Guadarrama Collado, ""ezahualc?yotl: El Despertar del Coyote"""
;;Maximum complexity;0,705;0,61;-7,89%;8,64%;"Mauricio Garc?a Villegas, ""El pa?s de las emociones tristes"""
;;Mean entropy and complexity;0,744;0,591;-2,76%;5,22%;"Camucha Escobar, ""Tierra en Sombras"""
4;2;Minimum entropy;0,703;0,387;-9,19%;15,90%;"Lorena Grande, ""M?s all? del deseo"""
;;Mean entropy;0,774;0,333;0,00%;-0,25%;"Laura Chivite , ""Gente que r?e"""
;;Maximum entropy;0,83;0,304;7,26%;-9,03%;"Boris Quercia, ""La sangre no es agua"""
;;Minimum complexity;0,83;0,269;7,26%;-19,50%;"Tara Pammi, ""El pr?ncipe sin coraz?n"""
;;Mean complexity;0,776;0,334;0,23%;0,09%;"Martina D'Antiochia, ""Diario de sue?os"""
;;Maximum complexity;0,766;0,399;-1,02%;19,39%;"Ortega y Gasset, ""Ideas y Creencias"" "
;;Mean entropy and complexity;0,777;0,326;0,42%;-2,35%;"David Luna Lorenzo, ""Ponzo?a"""
4;4;Minimum entropy;0,6;0,583;-14,54%;-7,59%;"Valeriam ?mar, ""Un beso para mi vizcondesa"""
;;Mean entropy;0,702;0,637;-0,02%;0,98%;"Alfredo G?mez Cerd?, ""El mago del paso subterraneo"""
;;Maximum entropy;0,79;0,609;12,57%;-3,49%;"Lope de Vega, ""Del pan y del palo"""
;;Minimum complexity;0,773;0,555;10,08%;-12,04%;"Pam Mu?oz Ryan, ""Pinta el viento"""
;;Mean complexity;0,674;0,631;-3,95%;-0,01%;"Isabel Keats, ""En un rinc?n perdido del mundo"""
;;Maximum complexity;0,727;0,646;3,53%;2,38%;"Jo?o Calazans Filho, ""El ?rbol de cacao encantado"""
;;Mean entropy and complexity;0,697;0,638;-0,75%;1,09%;"Julia Alvarez, ""De c?mo t?a Lola vino de visita a quedarse"""
6;3;Minimum entropy;0,384;0,384;-20,70%;-20,67%;"Jos? Luis Navajo, ""Misterio En El Campamento"""
;;Mean entropy;0,484;0,484;-0,03%;-0,02%;"Gregorio Le?n , ""La princesa de Macao"""
;;Maximum entropy;0,58;0,579;19,78%;19,62%;"Andres Diaz Sanchez, ""El Templo Del Deseo de Sat?n"""
;;Minimum complexity;0,384;0,384;-20,70%;-20,67%;"Jos? Luis Navajo, ""Misterio En El Campamento"""
;;Mean complexity;0,484;0,484;-0,03%;-0,02%;"Gregorio Le?n , ""La princesa de Macao"""
;;Maximum complexity;0,58;0,579;19,78%;19,62%;"Andres Diaz Sanchez, ""El Templo Del Deseo de Sat?n"""
;;Mean entropy and complexity;0,486;0,486;0,29%;0,29%;"Jordi Sierra i Fabra, ""Pesadillas vivas"""
;;;;;;;
Malalyam;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;3;Minimum entropy;0,509;0,348;-15,53%;-5,13%;???????? (Jayaprakash Panoor) 
;;Mean entropy;0,587;0,371;-2,52%;1,17%;???????????? ???????? (???????? ???? ???????) 
;;Maximum entropy;0,706;0,373;17,18%;1,92%;??? ??????? (Naseel Voici) 
;;Minimum complexity;0,511;0,326;-15,15%;-11,02%;??????? ????????? (K. R. Meera) 
;;Mean complexity;0,629;0,366;4,45%;-0,23%;????????????? ?????_????????_ (M. P. Narayana Pillai)
;;Maximum complexity;0,534;0,427;-11,33%;16,54%;????? (Sujeesh) 
;;Mean entropy and complexity;0,608;0,357;0,99%;-2,48%;??????????? ??????? (O.V. Vijayan)
3;4;Minimum entropy;0,423;0,348;-17,84%;-15,34%;????? ????????????_ (Khaled Hosseini) 
;;Mean entropy;0,5;0,381;-2,94%;-7,26%;??????????????? ????????? (M. Mukundan) 
;;Maximum entropy;0,614;0,453;19,30%;10,13%;????? ????????????_ (Sreekumaran Thampi) 
;;Minimum complexity;0,43;0,345;-16,45%;-16,13%;??????? ????????? (K. R. Meera)
;;Mean complexity;0,526;0,411;2,13%;-0,14%;?????????? (E Santhosh Kumar)
;;Maximum complexity;0,549;0,473;6,60%;15,07%;????????? ????_??????? (Vaikom Muhammad Basheer) 
;;Mean entropy and complexity;0,517;0,41;0,37%;-0,23%;?????????????? (K Vivekanandan) 
4;2;Minimum entropy;0,518;0,369;-15,13%;-11,55%;?????? ????? (The Bible Society of India) 
;;Mean entropy;0,603;0,418;-1,22%;0,31%;??????????? (Benyamin) 
;;Maximum entropy;0,7;0,41;14,69%;-1,73%;?????? (V.K.N)
;;Minimum complexity;0,524;0,373;-14,21%;-10,60%;??????? ????????? (K. R. Meera) 
;;Mean complexity;0,679;0,416;11,23%;-0,18%;????? ????????????_ (Sreekumaran Thampi)
;;Maximum complexity;0,626;0,479;2,56%;14,81%;??????????? ?? (Akhil Das, Adi Mithra)
;;Mean entropy and complexity;0,6;0,435;-1,71%;4,29%;???? ???????????????? 1885-1957 (A. Sreedhara Menon) 
6;1;Minimum entropy;0,683;0,362;-13,50%;10,25%;??????????? (Thakazhi Sivasankara Pillai) 
;;Mean entropy;0,777;0,3;-1,59%;-8,51%;????? ????????????_ (Khaled Hosseini) 
;;Maximum entropy;0,865;0,264;9,55%;-19,60%;Sabarimala and Women ????????? ?????????? (Lekshmy Rajeev) 
;;Minimum complexity;0,822;0,263;4,11%;-19,90%;???? 13 (Ravichandran C)
;;Mean complexity;0,829;0,327;4,98%;-0,27%;?????????? (E Santhosh Kumar) 
;;Maximum complexity;0,801;0,39;1,45%;18,77%;??? ??????? (Naseel Voici) 
;;Mean entropy and complexity;0,786;0,328;-0,43%;-0,12%;??????????? ??????? (O.V. Vijayan) 
;;;;;;;
Ossetian;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;7;Minimum entropy;0,6;0,583;-18,43%;-6,72%;"Мамсуров Д.Х., ""Эльдорадо"""
;;Mean entropy;0,736;0,648;-0,01%;3,71%;"Хаблиев С.М., ""?нам? мын чи бадзурдз?н"""
;;Maximum entropy;0,846;0,537;14,96%;-14,08%;"Айларты И.Х., ""Ирон фарн"""
;;Minimum complexity;0,846;0,537;14,96%;-14,08%;"Айларты И.Х., ""Ирон фарн"""
;;Mean complexity;0,787;0,624;6,92%;-0,03%;"Булкъаты Михал, ""Терк?й Туркм?"""
;;Maximum complexity;0,742;0,649;0,88%;3,83%;"Шанаев Уари, ""Партизант?"""
;;Mean entropy and complexity;0,719;0,647;-2,30%;3,60%;"Ситохаты Саламджери, ""?мдз?вг?ты тафс"""
3;8;Minimum entropy;0,541;0,537;-18,18%;-14,90%;"Хетагуров Д., ""Гоцци"""
;;Mean entropy;0,66;0,638;-0,11%;1,12%;"Ходов К.Х., ""Балс?джы цалх"""
;;Maximum entropy;0,774;0,668;17,10%;5,86%;"Айларты И.Х., ""Ирон фарн"""
;;Minimum complexity;0,541;0,537;-18,18%;-14,90%;"Хетагуров Д., ""Гоцци"""
;;Mean complexity;0,648;0,63;-1,91%;-0,19%;"Епхиты Т., ""Радзырдтае"""
;;Maximum complexity;0,752;0,677;13,72%;7,32%;"Калоты Г., ""Ирон ад?мон сф?лдыстад"""
;;Mean entropy and complexity;0,659;0,634;-0,38%;0,53%;"Тахъазти Федар, ""Ислам"""
4;4;Minimum entropy;0,601;0,584;-17,10%;-7,30%;"Нафи, ""Фыдаелты туг"""
;;Mean entropy;0,725;0,65;-0,09%;3,07%;"Епхиев Т.А., ""Уацмыст? ?рт? том?й"""
;;Maximum entropy;0,832;0,563;14,67%;-10,64%;"Айларты И.Х., ""Ирон фарн"""
;;Minimum complexity;0,832;0,563;14,67%;-10,64%;"Айларты И.Х., ""Ирон фарн"""
;;Mean complexity;0,782;0,63;7,86%;-0,05%;"Кайтуков А.Б., ""Таур?гът? ?м? цард"""
;;Maximum complexity;0,747;0,652;3,04%;3,34%;"Хъазиты М.Р., ""Къоста"""
;;Mean entropy and complexity;0,712;0,646;-1,87%;2,40%;"Сланты Ахм?т, ""С?рдыгон райсом"""
4;5;Minimum entropy;0,49;0,489;-18,76%;-17,82%;"Тигиев Ю.А., ""Эхо"""
;;Mean entropy;0,603;0,597;-0,11%;0,28%;"Агънаты Г., ""С?ууон хуры тын"""
;;Maximum entropy;0,705;0,676;16,87%;13,59%;"""Ирон ад?мон сф?лдыстад"""
;;Minimum complexity;0,49;0,489;-18,76%;-17,82%;"Тигиев Ю.А., ""Эхо"""
;;Mean complexity;0,599;0,593;-0,78%;-0,34%;"Шанаев Уари, ""Партизант?"""
;;Maximum complexity;0,705;0,676;16,87%;13,59%;"""Ирон ад?мон сф?лдыстад"""
